i	mooneys	solution	labelsEn	labelsNl
0	img/tt/001tt.jpg	img/gs/001gs.jpg	owl	uil
1	img/tt/007tt.jpg	img/gs/007gs.jpg	frog, toad, bullfrog	kikker, pad
2	img/tt/008tt.jpg	img/gs/008gs.jpg	gun, rifle, shotgun, firearm, weapon	geweer, jachtgeweer, wapen, vuurwapen
3	img/tt/009tt.jpg	img/gs/009gs.jpg	bananas	bananen
4	img/tt/010tt.jpg	img/gs/010gs.jpg	bat	vleermuis
5	img/tt/013tt.jpg	img/gs/013gs.jpg	camel, dromedary	kameel, dromedaris
6	img/tt/014tt.jpg	img/gs/014gs.jpg	ape, monkey, gorilla	aap, gorilla
7	img/tt/018tt.jpg	img/gs/018gs.jpg	squirrel, chipmunk, marmot	eekhoorn, muis, hamster, marmot, cavia
8	img/tt/019tt.jpg	img/gs/019gs.jpg	pliers, stripping tool, pincer	nijptang
9	img/tt/020tt.jpg	img/gs/020gs.jpg	jesus, christ, jesus christ, lord, messiah	jezus, christus, jezus christus, heer, messias
10	img/tt/025tt.jpg	img/gs/025gs.jpg	tipi, teepee, wigwam, tent, indian tent	tipi, tent, Indiaanse tent,teepee, wigwam
11	img/tt/026tt.jpg	img/gs/026gs.jpg	gramophone, phonograph, record player	platenspeler, grammofoon
12	img/tt/030tt.jpg	img/gs/030gs.jpg	hamburger, burger	hamburger, burger
13	img/tt/031tt.jpg	img/gs/031gs.jpg	bear, brown bear, grizzly, grizzly bear	beer, bruine beer, grizzly, grizzly beer
14	img/tt/032tt.jpg	img/gs/032gs.jpg	zipper, zip, zip-fastener, slide-fastener	rits
15	img/tt/033tt.jpg	img/gs/033gs.jpg	bike, bicycle, velocipede, cycle, sports bike, racing bike, racing	fiets, koersfiets, sportfiets, racefiets
16	img/tt/035tt.jpg	img/gs/035gs.jpg	waterfall, river, cascade, stream	waterval, rivier, stroom, waterstroom, water, golf, stortvloed
17	img/tt/036tt.jpg	img/gs/036gs.jpg	lightning, bolt, firebolt, storm, thunderstorm, lightning bolt	bliksem, storm, lichtflits, flits, donderstorm
18	img/tt/037tt.jpg	img/gs/037gs.jpg	reindeer, deer, moose, elk, wapiti, muntjac, chital, antlers	rendier, eland, hert, wapiti, gewei
19	img/tt/038tt.jpg	img/gs/038gs.jpg	bear, teddybear, teddy, toy, stuffed animal, stuffed	knuffel, teddybeer, teddy, beertje, beer, speeltje, speelgoed
20	img/tt/039tt.jpg	img/gs/039gs.jpg	ape, monkey, gorilla	aap, gorilla
21	img/tt/040tt.jpg	img/gs/040gs.jpg	ape, monkey, gorilla, chimp, chimpanzee, bonobo	aap, gorilla, chimpansee, bonobo
22	img/tt/042tt.jpg	img/gs/042gs.jpg	baseball glove, glove, baseball	handschoen, baseball, baseballhandschoen 
23	img/tt/043tt.jpg	img/gs/043gs.jpg	bowling, ball, bowling ball, hand, finger	bowling, bal, bowlingbal, hand, vinger, onderarm
24	img/tt/044tt.jpg	img/gs/044gs.jpg	coffin, casket, funerary box, death, dead person, dead, deceased, dead body, body, departed	doodskist, kist, dode, dood persoon, dood, lichaam, dood lichaam
25	img/tt/046tt.jpg	img/gs/046gs.jpg	dog, labrador, pup, puppy, hound, mutt, mongrel	hond, labrador, pup, puppy
26	img/tt/048tt.jpg	img/gs/048gs.jpg	bear, arctic bear, polar bear, tire, car tire	beer, ijsbeer, poolbeer, band, autoband
27	img/tt/049tt.jpg	img/gs/049gs.jpg	emu, ostrich, bird, turkey, ibis	emoe, struisvogel, loopvogel, vogel, kalkoen
28	img/tt/052tt.jpg	img/gs/052gs.jpg	ring, jewel, jewelry, diamond, diamond ring	ring, sierraad, diamant, diamanten ring 
29	img/tt/053tt.jpg	img/gs/053gs.jpg	waterfall, river, cascade, stream, kayak, canoe	waterval, rivier, stroom, waterstroom, water, golf, stortvloed, kayak, kano
30	img/tt/055tt.jpg	img/gs/055gs.jpg	saddle, horse, horse saddle, leather	zadel, paard, leer, paardrijzadel
31	img/tt/056tt.jpg	img/gs/056gs.jpg	jaguar, leopard, puma, cheetah, tiger, panther, lynx, cougar	jaguar, jachtluipaard, luipaard, poema, cheetah, tijger, leeuw, lynx, panter, katachtige
32	img/tt/057tt.jpg	img/gs/057gs.jpg	tractor, caterpillar, truck, bulldozer	tractor, bulldozer, camion, vrachtwagen
33	img/tt/060tt.jpg	img/gs/060gs.jpg	hamburger, burger, fries, food, french fries, chips,	hamburger, burger, frieten, voedsel, frietjes, fastfood
34	img/tt/062tt.jpg	img/gs/062gs.jpg	owl	uil
35	img/tt/063tt.jpg	img/gs/063gs.jpg	accordion, bandoneon, squeezebox	accordeon, instrument, muziekinstrument
36	img/tt/064tt.jpg	img/gs/064gs.jpg	hawksbill, tortoise, turtle, sea turtle	schildpad, zeeschildpad
37	img/tt/065tt.jpg	img/gs/065gs.jpg	grasshopper, cricket, locust, mantis, praying mantis	sprinkhaan, krekel
38	img/tt/067tt.jpg	img/gs/067gs.jpg	piano, grand piano, keyboard	piano, vleugelpiano, keyboard
39	img/tt/068tt.jpg	img/gs/068gs.jpg	boat, ship, sailboat, sails, schooner, skiff, bateau, yacht	boot, zeilboot, schip, zeil, vaartuig, jacht
40	img/tt/069tt.jpg	img/gs/069gs.jpg	snake, python, mamba, cobra, serpent	slang, ratelslang, python, mamba, cobra, boa, adder
41	img/tt/072tt.jpg	img/gs/072gs.jpg	ostrich, emu, bird	struisvogel, emoe, vogel
42	img/tt/073tt.jpg	img/gs/073gs.jpg	backback, bag, schoolbag	tas, schooltas, zak, rugzak
43	img/tt/074tt.jpg	img/gs/074gs.jpg	pineapple, ananas, pineapple tree	ananas, ananasplant, ananasboom 
44	img/tt/076tt.jpg	img/gs/076gs.jpg	skate, skates, inline skates, rollerskates, rollerblades	rolschaats, rolschaatsen, skaten
45	img/tt/078tt.jpg	img/gs/078gs.jpg	grapes, vine	druif, druiven, wijn, tros, tros druiven, druivenplant
46	img/tt/079tt.jpg	img/gs/079gs.jpg	bear, brown bear, grizzly, grizzly bear	beer, bruine beer, grizzly, grizzly beer
47	img/tt/080tt.jpg	img/gs/080gs.jpg	mushroom, fungi, fungus, frog, toad, bullfrog, lizard	champignon, paddenstoel, pad, kikker, fungus 
48	img/tt/081tt.jpg	img/gs/081gs.jpg	frog, toad, bullfrog	kikker, pad
49	img/tt/082tt.jpg	img/gs/082gs.jpg	bird, parrot, cockatiel	vogel, papegaai, 
50	img/tt/084tt.jpg	img/gs/084gs.jpg	duck, goose, fowl, swan	eend, gans, zwaan, kuiken, kuikentje, kuikentjes, kuikens, kip
51	img/tt/085tt.jpg	img/gs/085gs.jpg	grasshopper, cricket, locust, mantis, praying mantis	sprinkhaan, krekel
52	img/tt/086tt.jpg	img/gs/086gs.jpg	snake, python, mamba, cobra, serpent	slang, ratelslang, python, mamba, cobra, boa, adder
53	img/tt/087tt.jpg	img/gs/087gs.jpg	canoe, kayak, dog, kayaker	kano, kayak, hond 
54	img/tt/089tt.jpg	img/gs/089gs.jpg	hammock	hangmat
55	img/tt/090tt.jpg	img/gs/090gs.jpg	mushroom, fungi, mushrooms, fungus	champignon, paddenstoel, fungus, fungi, paddenstoelen, champignons
56	img/tt/091tt.jpg	img/gs/091gs.jpg	iguana, iguanadon, lizard	hagedis, salamander
57	img/tt/094tt.jpg	img/gs/094gs.jpg	wolf, dog	hond, wolf, puppy, pup, husky
58	img/tt/096tt.jpg	img/gs/096gs.jpg	piano, grand piano, keyboard	piano, vleugelpiano, keyboard, toetsen, toetsenbord, toets
59	img/tt/097tt.jpg	img/gs/097gs.jpg	ostrich, emu, bird	struisvogel, emoe, vogel
60	img/tt/098tt.jpg	img/gs/098gs.jpg	bird, hummingbird	vogel, kolibrie
61	img/tt/099tt.jpg	img/gs/099gs.jpg	wheelbarrow, wood	kruiwagen, hout
62	img/tt/100tt.jpg	img/gs/100gs.jpg	bear, brown bear, grizzly, grizzly bear	beer, bruine beer, grizzly, grizzly beer
63	img/tt/101tt.jpg	img/gs/101gs.jpg	mug, coffee cup, cup, coffee, breakfast, bread, plate, sandwich	koffie, koffiekop, kop, tas, ontbijt, brood, boterham, bord, koekje
64	img/tt/102tt.jpg	img/gs/102gs.jpg	gerenuk, gazelle, giraffe gazelle, antelope, deer	gazelle, antilope, hert, gerenoek
65	img/tt/103tt.jpg	img/gs/103gs.jpg	squid, tentacles, octopus	octopus, inktvis, tentakels 
66	img/tt/104tt.jpg	img/gs/104gs.jpg	frog, toad, bullfrog	kikker, pad
67	img/tt/105tt.jpg	img/gs/105gs.jpg	paperclips, gem clips, clips, paper fastener	paperclips, clips, papierbinders
68	img/tt/106tt.jpg	img/gs/106gs.jpg	kangaroo, wallaby, wallaroo	kangeroe, wallaby, wallaroe
69	img/tt/108tt.jpg	img/gs/108gs.jpg	ape, monkey, gorilla	aap, gorilla, apen, gorilla's
70	img/tt/111tt.jpg	img/gs/111gs.jpg	shower, showerhead	douch, douchekop, kraan
71	img/tt/112tt.jpg	img/gs/112gs.jpg	whistle, referee whistle	fluitje
72	img/tt/115tt.jpg	img/gs/115gs.jpg	starfish, sea star	zeester, ster
73	img/tt/117tt.jpg	img/gs/117gs.jpg	ape, monkey, gorilla, chimp, chimpanzee, bonobo	aap, gorilla, chimpansee, bonobo
74	img/tt/118tt.jpg	img/gs/118gs.jpg	chair, seat, stool	stoel
75	img/tt/119tt.jpg	img/gs/119gs.jpg	pie, cake, birthday cake	cake, taart, verjaardagstaart
76	img/tt/120tt.jpg	img/gs/120gs.jpg	man, sitting, , farmer, painter, painting, art, leaning	man, zitten, boer, schilder, schilderen, kunst
77	img/tt/121tt.jpg	img/gs/121gs.jpg	kangaroo, wallaby, wallaroo	kangeroe, wallaby, wallaroe
78	img/tt/122tt.jpg	img/gs/122gs.jpg	buddha, statue, buddha statue	standbeeld, boeddha, boeddha standbeeld
79	img/tt/123tt.jpg	img/gs/123gs.jpg	bag, briefcase	tas, schooltas, aktetas
80	img/tt/124tt.jpg	img/gs/124gs.jpg	ape, monkey, gorilla	aap, gorilla
81	img/tt/126tt.jpg	img/gs/126gs.jpg	cow, bovine	koe, rund
82	img/tt/127tt.jpg	img/gs/127gs.jpg	grasshopper, cricket, locust, mantis, praying mantis	sprinkhaan, krekel
83	img/tt/129tt.jpg	img/gs/129gs.jpg	tipi, teepee, wigwam, tent, indian tent	tipi, tent, Indiaanse tent,teepee, wigwam
84	img/tt/130tt.jpg	img/gs/130gs.jpg	camera	camera, fototoestel
85	img/tt/131tt.jpg	img/gs/131gs.jpg	camel, dromedary	kameel, dromedaris, lama, alpaca
86	img/tt/132tt.jpg	img/gs/132gs.jpg	boys, children, playing, football, soccer, kids	kinderen, voetbal, voetballers, jongens, voetbalspelen, voetbalwedstrijd 
87	img/tt/135tt.jpg	img/gs/135gs.jpg	toilet, wc, water closet, restroom, lavatory, bathroom, seat, washroom, toilet seat	wc, toilet, badkamer, bril, toiletbril, wc-bril
